city,neighbourhood,total_count,average_price
Mexico City,Azcapotzalco,99,963.75
Istanbul,Kartal,98,163.08
New York,Ditmars Steinway,98,122.22
New York,Flushing,97,174.78
New York,East New York,97,114.78
Bangkok,Bang Kho laen,97,1760.66
New York,Sunnyside,97,127.76
Sydney,Penrith,97,223.9
New York,Ridgewood,93,124.73
New York,Inwood,93,55.74
Rome,XIII Aurelia,93,92.8
Mexico City,La Magdalena Contreras,93,638.56
Bangkok,Pra Wet,91,3077.43
New York,Park Slope,91,97.47
New York,Prospect Heights,91,69.86
Hong Kong,Yuen Long,91,733.95
New York,Fort Greene,91,73.34
Bangkok,Bang Rak,90,1511.71
Rio de Janeiro,Sao Conrado,90,984.84
Sydney,Mosman,89,140.36
Sydney,Pittwater,89,158.66
New York,Kips Bay,89,120.35
Bangkok,Phra Nakhon,88,3096.01
Bangkok,Pra Wet,88,1186.93
Cape Town,Ward 53,88,783.1
Istanbul,Pendik,88,1359.03
New York,Brooklyn Heights,88,195.4
Mexico City,Xochimilco,87,773.01
Bangkok,Wang Thong Lang,87,1131.69
Cape Town,Ward 115,86,2510.81
Cape Town,Ward 55,86,744.47
New York,West Village,86,135.24
New York,East New York,86,58.92
Istanbul,Kartal,86,447.74
New York,East Elmhurst,85,55.8
Rio de Janeiro,Maracana,85,1006.95
Rome,VII San Giovanni/Cinecitta,84,70.17
New York,Gramercy,84,86.4
New York,SoHo,84,131.32
Istanbul,Sisli,84,1838.02
Istanbul,Fatih,84,254.79
Rio de Janeiro,Freguesia (Jacarepagua),83,684.08
Paris,Passy,83,237.12
Bangkok,Lak Si,83,979.92
Hong Kong,Sham Shui Po,83,275.7
Bangkok,Bang Khen,82,1014.35
Rome,I Centro Storico,81,30.63
New York,Little Italy,81,164.15
Sydney,Waverley,81,59.23
New York,Midtown,81,247.65
Paris,Pantheon,81,203.05
New York,Sheepshead Bay,80,245.46
Istanbul,Bahcelievler,80,423.21
Hong Kong,Islands,80,851.68
Bangkok,Dusit,80,1491
Sydney,Bankstown,80,186.74
Paris,Palais-Bourbon,79,269.49
Bangkok,Yan na wa,79,3196.39
Cape Town,Ward 21,79,838.25
Paris,Enclos-St-Laurent,78,155.36
Istanbul,Kucukcekmece,78,1116.4
Bangkok,Pom Prap Sattru Phai,77,1900.95
Rio de Janeiro,Jardim Botanico,76,283.07
New York,Inwood,76,99.32
Bangkok,Bang Rak,76,1714.34
Cape Town,Ward 70,76,757.2
Bangkok,Ratchathewi,75,922.07
Cape Town,Ward 69,75,1004.48
Paris,Louvre,75,280.47
Rome,II Parioli/Nomentano,75,66.23
Bangkok,Wang Thong Lang,74,1712.77
Istanbul,Beylikduzu,74,1047.46
Paris,Buttes-Montmartre,74,142.09
Rio de Janeiro,Urca,74,695.57
Sydney,Liverpool,74,76.24
Rio de Janeiro,Vila Isabel,73,945.12
Istanbul,Sisli,73,227.07
New York,Canarsie,72,89.64
New York,Theater District,72,290.49
Istanbul,Buyukcekmece,72,1323.25
Sydney,City Of Kogarah,72,211.97
Rio de Janeiro,Itanhanga,71,1690
New York,Jamaica,71,150.63
Bangkok,Phasi Charoen,69,1184.12
New York,Greenwich Village,69,157.96
Bangkok,Vadhana,69,579.62
New York,Nolita,69,95.38
New York,Cypress Hills,69,58.03
Sydney,Hurstville,68,160.13
Rio de Janeiro,Vidigal,68,593.22
Cape Town,Ward 112,68,1167.68
Rio de Janeiro,Vargem Pequena,67,878.93
Rio de Janeiro,Joa,67,4914.34
Istanbul,Kadikoy,66,142.38
Cape Town,Ward 2,66,827.44
Rio de Janeiro,Itanhanga,66,473.62
Cape Town,Ward 1,66,817.59
Sydney,Penrith,66,115.47
New York,Kensington,66,145.35
Paris,Buttes-Chaumont,66,27.11
New York,Windsor Terrace,65,155.48
Sydney,Burwood,65,139.97
Rio de Janeiro,Maracana,65,294.89
Cape Town,Ward 2,64,821.03
Sydney,Blacktown,64,187.56
Rio de Janeiro,Campo Grande,64,518.36
Istanbul,Sile,63,458.35
Bangkok,Samphanthawong,63,1958.59
New York,Maspeth,63,61.87
Sydney,Liverpool,62,170.47
Istanbul,Zeytinburnu,62,690.61
Cape Town,Ward 105,62,1443.32
