city,neighbourhood,total_count
Rio de Janeiro,Taquara,55
Hong Kong,Sai Kung,55
Bangkok,Lak Si,55
Rio de Janeiro,Camorim,55
Sydney,Randwick,55
Cape Town,Ward 3,55
New York,Kensington,55
Bangkok,Sathon,54
Rio de Janeiro,Guaratiba,53
New York,Bedford-Stuyvesant,53
Cape Town,Ward 71,53
Hong Kong,North,53
Bangkok,Bang Kho laen,52
Bangkok,Chom Thong,52
Paris,Popincourt,51
Rio de Janeiro,Cosme Velho,51
Cape Town,Ward 5,51
Istanbul,Arnavutkoy,51
Istanbul,Beykoz,51
Cape Town,Ward 8,50
Sydney,Fairfield,50
Mexico City,La Magdalena Contreras,49
Istanbul,Bagcilar,48
New York,Red Hook,48
New York,Forest Hills,48
Rio de Janeiro,Freguesia (Jacarepagua),48
New York,Bay Ridge,48
Istanbul,Gungoren,48
New York,Elmhurst,48
New York,Sheepshead Bay,47
Istanbul,Zeytinburnu,47
New York,Woodhaven,47
Bangkok,Samphanthawong,46
New York,Tribeca,46
New York,Rego Park,46
Bangkok,Lat Phrao,46
Cape Town,Ward 54,46
Bangkok,Phaya Thai,45
Cape Town,Ward 103,45
Rio de Janeiro,Vargem Pequena,45
Bangkok,Bang Khae,45
Paris,Popincourt,45
Bangkok,Bangkok Noi,44
Cape Town,Ward 109,44
New York,Midwood,44
New York,Arverne,44
New York,Forest Hills,44
Rio de Janeiro,Jacarepagua,44
Sydney,Campbelltown,44
New York,Richmond Hill,43
Cape Town,Ward 105,43
Istanbul,Tuzla,43
Bangkok,Don Mueang,43
Rio de Janeiro,Rio Comprido,43
Istanbul,Basaksehir,42
New York,Hell's Kitchen,42
New York,Midwood,42
Cape Town,Ward 83,42
New York,Springfield Gardens,41
Paris,Bourse,41
New York,Brownsville,41
Bangkok,Pom Prap Sattru Phai,41
Cape Town,Ward 115,41
New York,NoHo,41
Rio de Janeiro,Rio Comprido,40
Paris,Observatoire,40
New York,Two Bridges,40
Bangkok,Khan Na Yao,40
Paris,Enclos-St-Laurent,40
Rio de Janeiro,Sao Cristovao,40
Mexico City,Benito Juarez,39
Rio de Janeiro,Estacio,39
Cape Town,Ward 60,39
New York,Roosevelt Island,39
Bangkok,Chom Thong,39
Rio de Janeiro,Vidigal,38
Rio de Janeiro,Sao Cristovao,38
Istanbul,Beylikduzu,38
New York,Flatlands,38
Cape Town,Ward 60,38
Cape Town,Ward 102,38
New York,Wakefield,38
Sydney,Randwick,38
New York,Springfield Gardens,37
Paris,Vaugirard,37
New York,St. Albans,37
Istanbul,Besiktas,37
Mexico City,Coyoacan,37
New York,Carroll Gardens,37
Bangkok,Huai Khwang,37
Bangkok,Khlong San,36
Cape Town,Ward 8,36
New York,Stuyvesant Town,36
New York,Brighton Beach,36
Sydney,Fairfield,36
Istanbul,Arnavutkoy,36
Rio de Janeiro,Santa Teresa,35
Bangkok,Bueng Kum,35
Mexico City,Miguel Hidalgo,35
New York,Downtown Brooklyn,35
New York,Rosedale,35
New York,Corona,35
New York,Longwood,35
Sydney,Hunters Hill,35
Bangkok,Min Buri,35
Rio de Janeiro,Barra de Guaratiba,35
Cape Town,Ward 63,35
Rio de Janeiro,Vargem Grande,34
Hong Kong,Central & Western,34
Rio de Janeiro,Urca,34
New York,Rockaway Beach,34
New York,Concourse,34
Bangkok,Bangkok Yai,34
New York,Cypress Hills,33
Bangkok,Khlong Toei,33
New York,Queens Village,33
New York,Mott Haven,33
Rio de Janeiro,Botafogo,33
New York,Lower East Side,33
Bangkok,Min Buri,33
Bangkok,Din Daeng,33
Rio de Janeiro,Centro,33
Rome,XII Monte Verde,32
Rio de Janeiro,Cosme Velho,32
New York,Kingsbridge,32
Sydney,Holroyd,32
New York,Bushwick,32
New York,Flatlands,32
Paris,Reuilly,32
New York,Bensonhurst,32
Sydney,Rockdale,32
Hong Kong,Yuen Long,31
Bangkok,Phaya Thai,31
Rio de Janeiro,Pechincha,31
Cape Town,Ward 5,31
Bangkok,Saphan Sung,31
Istanbul,Silivri,31
Cape Town,Ward 63,31
Paris,Buttes-Montmartre,31
Rio de Janeiro,Jardim Guanabara,31
Paris,Temple,31
New York,Gravesend,31
Cape Town,Ward 112,31
Istanbul,Uskudar,31
Istanbul,Buyukcekmece,31
New York,Upper West Side,30
Paris,Menilmontant,30
Bangkok,Sai Mai,30
Rio de Janeiro,Curicica,30
New York,Glendale,30
Bangkok,Rat Burana,30
Rio de Janeiro,Barra da Tijuca,30
New York,Rego Park,30
Mexico City,Miguel Hidalgo,30
Hong Kong,Sha Tin,30
Cape Town,Ward 3,29
Bangkok,Dusit,29
Istanbul,Cekmekoy,29
Istanbul,Cekmekoy,29
New York,Fort Hamilton,29
New York,Fordham,29
Bangkok,Khan Na Yao,29
New York,Gravesend,29
Bangkok,Bueng Kum,29
New York,Bensonhurst,29
Rio de Janeiro,Alto da Boa Vista,29
Hong Kong,Southern,28
Sydney,Camden,28
Rio de Janeiro,Praca da Bandeira,28
Bangkok,Huai Khwang,28
New York,Mott Haven,28
Rio de Janeiro,Vidigal,28
Bangkok,Lat Phrao,28
Mexico City,Tlahuac,28
Mexico City,Benito Juarez,28
New York,Maspeth,28
Istanbul,Kagithane,28
New York,Richmond Hill,28
Hong Kong,Kowloon City,27
New York,Boerum Hill,27
Istanbul,Sancaktepe,27
Istanbul,Kadikoy,27
Hong Kong,Sai Kung,26
Cape Town,Ward 11,26
Rio de Janeiro,Guaratiba,26
Rio de Janeiro,Grajau,26
Bangkok,Taling Chan,26
New York,Columbia St,26
New York,Civic Center,26
Rio de Janeiro,Estacio,25
New York,St. Albans,25
New York,South Ozone Park,25
Bangkok,Sathon,25
