city,neighbourhood,room_type,average_price
New York,Bedford-Stuyvesant,Hotel room,1000
Cape Town,Ward 3,Hotel room,1000
Bangkok,Suanluang,Hotel room,999.33
Mexico City,A�lvaro Obregon,Hotel room,996.5
New York,Murray Hill,Shared room,995.73
Rio de Janeiro,Sao Conrado,Private room,984.84
Cape Town,Ward 49,Entire place,984.8
Hong Kong,Yau Tsim Mong,Entire place,983.75
Cape Town,Ward 2,Shared room,983.33
Hong Kong,Kwun Tong,Entire place,980.33
Bangkok,Lak Si,Private room,979.92
Bangkok,Phra Khanong,Hotel room,978.5
Hong Kong,Sai Kung,Private room,974.04
Hong Kong,Wan Chai,Entire place,973.08
Mexico City,Gustavo A. Madero,Entire place,972.9
Bangkok,Don Mueang,Hotel room,970.12
Bangkok,Din Daeng,Hotel room,969.83
Rio de Janeiro,Jardim Botanico,Entire place,969.17
Mexico City,Azcapotzalco,Entire place,963.75
Cape Town,Ward 104,Entire place,959.75
Istanbul,Sisli,Entire place,958.56
Cape Town,Ward 5,Entire place,955.24
Cape Town,Ward 84,Private room,951.8
Rio de Janeiro,Gamboa,Private room,948.88
Istanbul,Adalar,Entire place,948.38
Cape Town,Ward 72,Entire place,946.6
Cape Town,Ward 60,Entire place,946.47
Cape Town,Ward 8,Entire place,946.18
Rio de Janeiro,Copacabana,Private room,945.84
Rio de Janeiro,Vila Isabel,Entire place,945.12
Cape Town,Ward 102,Entire place,939.39
Hong Kong,Eastern,Entire place,928.27
Bangkok,Ratchathewi,Shared room,922.07
Rio de Janeiro,Leblon,Entire place,915.77
Hong Kong,Yau Tsim Mong,Hotel room,915.76
Hong Kong,North,Private room,912.72
Cape Town,Ward 64,Private room,904.23
Bangkok,Khlong Toei,Shared room,901.67
Rio de Janeiro,Ricardo de Albuquerque,Private room,900
Cape Town,Ward 6,Entire place,900
Rio de Janeiro,Complexo do Alemao,Shared room,900
Cape Town,Ward 58,Hotel room,900
Rio de Janeiro,Osvaldo Cruz,Private room,900
Cape Town,Ward 2,Hotel room,895
Rio de Janeiro,Recreio dos Bandeirantes,Entire place,894.81
Mexico City,Cuauhtemoc,Private room,894.5
Hong Kong,Southern,Private room,893.35
Cape Town,Ward 63,Entire place,890.19
Cape Town,Ward 77,Private room,884.11
Rio de Janeiro,Vargem Pequena,Entire place,878.93
Istanbul,Sile,Entire place,875.94
Cape Town,Ward 75,Entire place,875
Rio de Janeiro,Marechal Hermes,Private room,872.29
Cape Town,Ward 64,Hotel room,872.13
Cape Town,Ward 66,Entire place,870
Cape Town,Ward 53,Hotel room,870
Mexico City,La Magdalena Contreras,Entire place,869.12
Rio de Janeiro,Vicente de Carvalho,Entire place,862.5
Cape Town,Ward 53,Shared room,860
Cape Town,Ward 112,Private room,855.13
Bangkok,Bang Na,Shared room,852.33
Hong Kong,Islands,Private room,851.68
Cape Town,Ward 4,Shared room,850
Cape Town,Ward 19,Entire place,848.67
Rio de Janeiro,Todos os Santos,Entire place,848.5
Bangkok,Sai Mai,Private room,846.2
Rio de Janeiro,Tijuca,Entire place,846.16
Mexico City,Tlahuac,Entire place,840
Rio de Janeiro,Praca da Bandeira,Entire place,838.86
Cape Town,Ward 21,Private room,838.25
Hong Kong,Wong Tai Sin,Entire place,837.5
Cape Town,Ward 25,Entire place,837
Bangkok,Bang Khen,Hotel room,836.75
Bangkok,Nong Chok,Private room,836
Rio de Janeiro,Praca Seca,Shared room,835
Bangkok,Nong Khaem,Private room,831.91
Cape Town,Ward 67,Private room,830.75
Istanbul,Adalar,Shared room,830
Cape Town,Ward 2,Private room,827.44
Rio de Janeiro,Ipanema,Entire place,824.31
Rio de Janeiro,Sao Francisco Xavier,Entire place,823.83
Cape Town,Ward 71,Hotel room,823.33
Cape Town,Ward 2,Entire place,821.03
Rio de Janeiro,Paciencia,Private room,818
Cape Town,Ward 1,Private room,817.59
Rio de Janeiro,Humaita,Entire place,815.64
Mexico City,Venustiano Carranza,Entire place,813.37
Rio de Janeiro,Vargem Pequena,Private room,813.16
Rio de Janeiro,Leblon,Hotel room,811.75
Cape Town,Ward 77,Shared room,811
Hong Kong,North,Entire place,808.32
Cape Town,Ward 85,Private room,808
Hong Kong,Wan Chai,Hotel room,807.89
Mexico City,Cuajimalpa de Morelos,Private room,807.47
Cape Town,Ward 83,Private room,803.93
Mexico City,Cuajimalpa de Morelos,Shared room,802.71
Cape Town,Ward 101,Shared room,800
Rio de Janeiro,Anchieta,Shared room,800
Cape Town,Ward 29,Entire place,800
New York,Fort Wadsworth,Entire place,800
Bangkok,Min Buri,Shared room,800
Rio de Janeiro,Mangueira,Entire place,800
Rio de Janeiro,Rocha Miranda,Entire place,800
Rio de Janeiro,Engenho da Rainha,Entire place,800
Rio de Janeiro,Laranjeiras,Entire place,792.98
Cape Town,Ward 111,Private room,787.33
Cape Town,Ward 57,Hotel room,786
Rio de Janeiro,Botafogo,Entire place,783.2
Cape Town,Ward 53,Private room,783.1
Mexico City,Gustavo A. Madero,Shared room,782
Istanbul,Arnavutkoy,Entire place,780.22
Cape Town,Ward 86,Private room,778.33
Bangkok,Bang Phlat,Shared room,776.88
Rio de Janeiro,Gardenia Azul,Entire place,776.57
Cape Town,Ward 54,Shared room,775.88
Mexico City,Gustavo A. Madero,Hotel room,774.71
Hong Kong,Sha Tin,Entire place,773.18
Mexico City,Xochimilco,Private room,773.01
Cape Town,Ward 46,Entire place,770.44
Cape Town,Ward 92,Entire place,767
Cape Town,Ward 103,Private room,761.59
Rio de Janeiro,Copacabana,Shared room,761.52
Cape Town,Ward 70,Private room,757.2
Cape Town,Ward 107,Private room,754.18
Rio de Janeiro,Freguesia (Ilha),Entire place,754
Cape Town,Ward 18,Private room,750
Cape Town,Ward 38,Entire place,750
Bangkok,Taling Chan,Shared room,749.5
Hong Kong,Kowloon City,Private room,745.59
Cape Town,Ward 55,Private room,744.47
Hong Kong,Central & Western,Shared room,740.35
Bangkok,Phaya Thai,Shared room,738.48
Rio de Janeiro,Jacarepagua,Entire place,735.25
Cape Town,Ward 1,Shared room,735
Hong Kong,Yuen Long,Entire place,733.95
Cape Town,Ward 3,Entire place,726.79
Hong Kong,Islands,Shared room,723.5
Cape Town,Ward 5,Private room,716.23
Istanbul,Bakirkoy,Entire place,716.16
Rio de Janeiro,Pavuna,Entire place,713.5
Rio de Janeiro,Cosme Velho,Entire place,711.27
Istanbul,Gaziosmanpasa,Entire place,711.21
Bangkok,Bangkok Noi,Shared room,708.8
Cape Town,Ward 58,Private room,703.53
Rio de Janeiro,Anil,Entire place,701.78
Istanbul,Uskudar,Entire place,700.92
Cape Town,Ward 72,Private room,700
Rio de Janeiro,Manguinhos,Entire place,700
Mexico City,A�lvaro Obregon,Private room,696.88
Rio de Janeiro,Urca,Entire place,695.57
Hong Kong,Yau Tsim Mong,Shared room,695.31
Istanbul,Zeytinburnu,Entire place,690.61
Hong Kong,Sham Shui Po,Entire place,689.84
Mexico City,Gustavo A. Madero,Private room,688.87
Rio de Janeiro,Engenho Novo,Entire place,686
Rio de Janeiro,Freguesia (Jacarepagua),Entire place,684.08
Istanbul,Besiktas,Entire place,677.52
Rio de Janeiro,Inhoaiba,Entire place,671
Bangkok,Khlong San,Shared room,670
Istanbul,Basaksehir,Entire place,667.48
Istanbul,Kartal,Hotel room,665.13
Bangkok,Bang Khen,Shared room,665
Cape Town,Ward 17,Entire place,662.5
Rio de Janeiro,Vila Valqueire,Entire place,661.29
Mexico City,Iztapalapa,Entire place,658.69
Istanbul,Fatih,Entire place,656.93
Cape Town,Ward 65,Entire place,656.4
Cape Town,Ward 60,Hotel room,656
Rio de Janeiro,Curicica,Entire place,655.03
Sydney,Pittwater,Entire place,653.42
Cape Town,Ward 31,Entire place,650
Cape Town,Ward 74,Shared room,650
Bangkok,Min Buri,Hotel room,650
Rio de Janeiro,Engenho de Dentro,Entire place,649.3
Cape Town,Ward 73,Private room,648.38
Rio de Janeiro,Gamboa,Entire place,645.29
Cape Town,Ward 48,Private room,641.67
Mexico City,Benito Juarez,Private room,640.15
Mexico City,La Magdalena Contreras,Private room,638.56
Rio de Janeiro,Jardim Sulacap,Entire place,637.5
Rio de Janeiro,Senador Camara,Entire place,637.5
Rio de Janeiro,Maria da Graca,Entire place,636.5
Bangkok,Bang Kapi,Hotel room,633.33
Rio de Janeiro,Copacabana,Entire place,631.65
Rio de Janeiro,Riachuelo,Entire place,628.25
Cape Town,Ward 43,Entire place,627.78
Istanbul,Bagcilar,Hotel room,627
Mexico City,Iztacalco,Hotel room,622
Cape Town,Ward 10,Entire place,621.5
Bangkok,Bang Sue,Shared room,618.33
Bangkok,Dusit,Shared room,618
Hong Kong,Yau Tsim Mong,Private room,617.9
Cape Town,Ward 116,Entire place,616.67
Mexico City,Iztapalapa,Shared room,609.4
Cape Town,Ward 10,Private room,608.58
Rio de Janeiro,Cosmos,Entire place,604.25
Istanbul,Beyoglu,Hotel room,604.03
New York,Fieldston,Entire place,604
Bangkok,Bang Kapi,Shared room,600.29
Rio de Janeiro,Santissimo,Shared room,600
Bangkok,Phasi Charoen,Shared room,600
Cape Town,Ward 104,Private room,600
Cape Town,Ward 96,Private room,600
Bangkok,Phasi Charoen,Hotel room,600
Hong Kong,Sha Tin,Private room,597.03
Hong Kong,Yuen Long,Private room,594.52
Rio de Janeiro,Vidigal,Entire place,593.22
Hong Kong,Tsuen Wan,Private room,592.27
Mexico City,Coyoacan,Private room,590.84
Mexico City,Azcapotzalco,Shared room,590.8
Istanbul,Esenler,Entire place,590.25
Cape Town,Ward 3,Private room,589.96
Rio de Janeiro,Pechincha,Entire place,585.77
Cape Town,Ward 7,Entire place,582.8
Bangkok,Vadhana,Shared room,579.62
Cape Town,Ward 8,Private room,578.97
Rio de Janeiro,Barra da Tijuca,Shared room,576.53
Cape Town,Ward 96,Entire place,576
Istanbul,Kagithane,Hotel room,575.94
Rio de Janeiro,Gloria,Entire place,574.1
Istanbul,Sultangazi,Entire place,573.92
Sydney,Woollahra,Hotel room,573.6
Cape Town,Ward 32,Private room,570
Cape Town,Ward 44,Entire place,565
Bangkok,Lat Krabang,Shared room,563.13
Mexico City,Azcapotzalco,Private room,562.39
Rio de Janeiro,Ricardo de Albuquerque,Entire place,561.5
Rio de Janeiro,Lagoa,Private room,561.32
Cape Town,Ward 60,Private room,557.26
Bangkok,Pra Wet,Shared room,556.67
Cape Town,Ward 41,Private room,554.5
Rio de Janeiro,Jacare,Entire place,554.5
Cape Town,Ward 20,Entire place,550
Cape Town,Ward 85,Shared room,550
Istanbul,Sile,Hotel room,547.4
Mexico City,Milpa Alta,Shared room,543.5
Istanbul,Cekmekoy,Entire place,542.28
Cape Town,Ward 94,Shared room,540
New York,Gramercy,Shared room,538.5
Rio de Janeiro,Benfica,Entire place,536.38
